titulo,data,autoria,tags,principal,texto,label
Antropólogo Sandro Silva escreve texto com críticas a Marielle Franco #boato,17/03/2018,Edgard Matsuki,,"Boato – O antropólogo, sociólogo e defensor dos direitos humanos Sandro Silva escreveu um texto falando que a vereadora Marielle Franco era ultra esquerdista e tinha ideias nefastas e tortas.  ","No final da noite de 14 de março de 2018, mais uma notícia sobre a violência do Rio de Janeiro chocou o país. Como era de se esperar, a morte da vereadora pela cidade do Rio de Janeiro Marielle Franco (PSOL) causou comoção. Mesmo com este cenário, os primeiros boatos sobre o assunto já começam a circular na web.",1
Vídeo mostra Marielle Franco defendendo bandido e discutindo com Carlos Jordy #boato,17/03/2018,Kyene Becker,,Boato – Marielle Franco aparece em vídeo discursando em prol de bandidos e discute com o vereador Carlos Jordy em sessão da Câmara. ,"Desde a notícia do assassinato da vereadora da cidade do Rio de Janeiro Marielle Franco (PSOL), as redes sociais foram inundadas por homenagens e protestos de amigos, familiares e admiradores da vereadora. Diversas manifestações foram organizadas, pedindo uma investigação clara sobre a morte de Marielle.",1
"Marco Antônio Cabral, filho de Sérgio Cabral, mudou o sobrenome para as eleições #boato",02/08/2018,Edgard Matsuki,,"Boato – Filho do ex-governador do Rio de Janeiro, Sérgio Cabral, Marco Antônio Cabral tomou a decisão de mudar o sobrenome para não chamar atenção nas eleições de 2018.","Muita gente não se atenta, mas as eleições vão muito além da escolha do presidente da República. Em 2018, vamos às urnas para escolher governadores, senadores, deputados federais e deputados estaduais. Dentre os muitos candidatos, nomes de parentes de ",1
Foto de Marielle Franco sentada no colo de Marcinho VP vazou na web #boato,18/03/2018,Edgard Matsuki,,"Boato – Agora não há mais como enganar. Vazou na internet uma foto de Marielle Franco sentada no colo do seu ex-marido, o traficante Marcinho VP.","Sério. Já estamos cansados de desmentir boatos relacionados à morte da vereadora do Rio de Janeiro Marielle Franco (PSOL). O pior de tudo é que, mesmo desmentindo uma história, as pessoas continuam “encontrando” provas (só que não) na internet. É o caso da fake news que diz que Marielle era esposa do traficante Marcinho VP.",1
Brigadeiro suspende voos de Gilmar Mendes em aviões da FAB #boato,28/04/2018,Edgard Matsuki,,,"Dentre todas as figuras do meio político brasileiro, uma das que mais recebe críticas é a do ministro Gilmar Mendes, do STF. Ele consegue a proeza de não ter a simpatia de militantes pró-Lula, pró-Bolsonaro e de “neutros”. A prova disso está em vídeos que circulam na internet e mostram ele sendo hostilizado e, claro, nas fake news relacionadas a ele.",1
Marielle Franco era filha do traficante Fernandinho Beira-Mar #boato,22/03/2018,Edgard Matsuki,,"Boato – A verdade finalmente foi descoberta. A vereadora da cidade do Rio de Janeiro Marielle Franco, assassinada no dia 14 de março de 2018, era filha do traficante Fernandinho Beira-Mar.","Exatamente uma semana após a morte brutal da vereadora Marielle Franco, podemos fazer um balanço do turbilhão que passou pela internet nos últimos dias. Primeiro, a morte causou comoção na web. Depois, grupos contrários às causas que ela levantava começaram a questionar essa comoção. Logo em seguida, uma avalanche de boatos tomou conta na web.",1
"Generais fecham o Congresso, acuam o STF e não haverá eleições #boato",19/03/2018,Edgard Matsuki,,"Boato – Finalmente, os generais das Forças Armadas conseguiram fechar o Congresso Nacional. STF também está pressionado e a consequência será a Intervenção Militar. Não haverá eleição.","Quem acompanha o Boatos.org sabe que, volta e meia, boatos sobre “intervenção militar no Brasil” circulam na internet. Eis que, mais uma vez, estamos aqui para falar sobre um “anúncio” de generais no poder.",1
Filha de Fernandinho Beira-Mar vai assumir como vereadora no Rio #boato,22/03/2018,Edgard Matsuki,,"Boato – Filha do traficante Fernandinho Beira-Mar, Fernanda Izabel Costa, vai assumir cargo de vereadora na cidade de Duque de Caxias, no Rio de Janeiro.","No último texto que publicamos, falamos do boato que apontava que ",1
7 capas falsas de revistas e jornais que viralizaram na internet,24/03/2018,Kyene Becker,,"Lula, Lei Rouanet, Joaquim Barbosa e até o juiz Sérgio Moro já foram vítimas de capas de revista e manchetes de jornais falsas. Separamos sete exemplos para você conferir e não espalhar por aí!","Nesta semana, o nome do ex-presidente Lula voltou a circular nas redes sociais. E se você pensou que o motivo envolvia as investigações da operação Lava Jato, venho dizer que você está enganado.",0
Vídeo mostra clima em Brasília após protesto influenciado por povo gaúcho #boato,26/03/2018,Kyene Becker,,"Boato – Após manifestações de gaúchos contra Lula, Brasília é contagiada pelo clima de protesto e cidadãos fazem reivindicação contra o PT em frente ao Congresso Nacional. ","Nos últimos dias, o ex-presidente Lula iniciou uma série de atos públicos em sua “caravana pré-eleitoral”. As aparições públicas começaram pela região Sul (Rio Grande do Sul, Santa Catarina e Paraná). Mas parece que as coisas não têm se saído como a equipe do ex-presidente gostaria.",1
Janaína Paschoal diz que Lula já pode ser preso e põe STF em cheque #boato,27/03/2018,Edgard Matsuki,,"Boato – Janaína Paschoal, advogada que assinou o pedido de impeachment de Dilma Rousseff, formulou tese que põe em cheque decisão do STF e diz que Lula já pode ser preso.","Desde que o ex-presidente Lula teve os embargos de declaração relativos ao processo que envolve o tríplex no Guarujá (SP) negados pelo TRF-4, as atenções se voltaram ao STF. É justamente por causa de uma decisão do Supremo que o ex-presidente não pode ser preso até o dia 4 de abril, data marcada para a apreciação de um habeas corpus impetrado pela defesa de Lula.",1
Foto mostra Lula com o rosto sujo após ser atingido por ovos em comício #boato,27/03/2018,Edgard Matsuki,,"Boato – Depois que a caravana de Lula foi atingida por ovos, imagem mostra ex-presidente com o rosto todo sujo por uma ovada.","Já é sabido que a caravana do ex-presidente Luiz Inácio Lula da Silva pela região Sul do Brasil está sendo um tanto quanto conturbada. Enquanto Lula percorria Rio Grande do Sul, Santa Catarina e Paraná, grupos se organizavam para se manifestar contra o político e o PT.",1
Tiririca pede que seus eleitores apoiem Jair Bolsonaro #boato,05/12/2017,Edgard Matsuki,,"Boato – Depois de fazer revelações sobre a política, deputado Francisco Everardo, o Tiririca, pede para que eleitores apoiem Jair Bolsonaro.","Tiririca e Bolsonaro. Junto com Lula, Jean Wyllys, Maria do Rosário e Temer, os dois deputados federais são as figuras mais carimbadas em boatos atualmente. A história de hoje conseguiu juntar os nomes dos dois em um mesmo texto (que, por sinal, foi reciclado).",1
Bolsonaro lidera pesquisa Datafolha em todos os estados #boato,06/12/2017,Kyene Becker,,Boato – Pesquisa Datafolha indica vitória de Jair Bolsonaro em todos os estados brasileiros nas eleições presidenciais de 2018.,"Falta menos de um mês para nos despedirmos de 2017 e iniciarmos o tão esperado ano de 2018. No próximo ano, teremos eleições presidenciais e a população está ansiosa para votar. Desde o processo de impeachment da ex-presidente Dilma Rousseff, o cenário político tem agitado os ânimos dos brasileiros.",1
Tiririca renuncia ao mandato de deputado federal em desabafo #boato,07/12/2017,Edgard Matsuki,,,"Em meio a discussões da maioria dos deputados federais sobre a reforma da Previdência, um nome “escanteado” na Câmara tem chamado atenção: o do deputado Francisco Everardo, o Tiririca. Eleito como um dos mais votados da história, Tiririca fez, no dia 06/12, o que diz ser o primeiro e último discurso na Câmara.",1
Tiririca fez discurso só para ganhar aposentadoria integral de parlamentar #boato,11/12/2017,Edgard Matsuki,,Boato – Deputado Tiririca fez seu discurso de renúncia no plenário da Câmara só para receber a aposentadoria integral de parlamentar.,"Nos “trends” da política, o deputado Francisco Everardo, o Tiririca, conseguiu causar emoções diversas em quem (humano ou robozinho) navega na onda da polarização política. Em uma semana, ele conseguiu satisfazer e, quase ao mesmo tempo, enfurecer quem se diz de direita e de esquerda.",1
"Joesley Batista é hostilizado no restaurante Barbacoa, mostra vídeo #boato",12/03/2018,Kyene Becker,,"Boato – Clientes do restaurante Barbacoa hostilizam Joesley Batista, um dos donos da JBS que deixou a prisão recentemente por decisão da Justiça.","Desde o início das investigações da operação Lava Jato, o brasileiro já presenciou diversos capítulos dessa saga: a condenação em primeira e segunda instância do ex-presidente Lula, a prisão de Alberto Youssef, Eike Batista, Eduardo Cunha e, mais recentemente, a de Joesley Batista (um dos donos da JBS).",1
"José Genoino, do PT, é o primeiro suplente de Tiririca na Câmara #boato",07/12/2017,Edgard Matsuki,,"Boato – José Genoino, preso no Mensalão, é o primeiro suplente de deputado de Tiririca. Se Tiririca renunciar, Genoino entra no lugar.","O assunto Tiririca ainda está rendendo bem. Depois de dar uma entrevista ao Conexão Repórter (programa do SBT) dizendo que não iria concorrer nas próximas eleições e fazer o anúncio oficialmente no plenário da Câmara, diversos posts sobre o deputado-palhaço começaram a surgir na internet. Claro que muitos deles são falsos.",1
General Mourão foi promovido no Exército após pedir intervenção #boato,13/12/2017,Edgard Matsuki,,"Boato – Em resposta aos comunistas, o Exército promoveu o general Hamilton Mourão a secretário-geral após declarações sobre intervenção militar e contra Temer.","Desde que o general Antônio Hamilton Martins Mourão fez, novamente, críticas ao governo de Michel Temer e levantou a hipótese de uma intervenção militar no Brasil, a internet tem se agitado com diversos rumores sobre o futuro de general. Já foi dito que ele seria demitido e até que seria preso (a gente até tentou desmentir essa, mas não deu tempo). Agora surge uma nova história na internet: a de que Mourão seria promovido no exército.",1
Assassinato de Marielle Franco gerou onda de fake news; confira 7 boatos,18/03/2018,Carol Lira,,"Após o assassinato da vereadora do Rio de Janeiro Marielle Franco, a internet não parou de criar histórias sobre a tragédia. Separamos sete delas para você não cair nas mentiras.","O assassinato da vereadora Marielle Franco (PSOL) na noite de quarta-feira (14), no Rio de Janeiro, repercutiu nas redes sociais e levou ",1
Contracheque prova que Lula ganha R$ 45 mil como anistiado político #boato,12/12/2017,Edgard Matsuki,,Boato – Vazou o contracheque de Lula na internet. Documento prova que ex-presidente recebe R$ 45 mil por mês como anistiado político.,"Nos últimos dias, se multiplicaram na internet o número de histórias relacionadas aos dois pré-candidatos que estão nas duas primeiras posições nas pesquisas presidenciais: Lula e Jair Bolsonaro. Hoje, vamos falar de uma história sobre o ex-presidente e candidato do PT.",1
Sérgio Moro faz declaração pedindo para você não reeleger ninguém #boato,14/12/2017,Kyene Becker,,"Boato – Juiz Federal Sérgio Moro, em declaração, faz apelo à população para fazer justiça contra corruptos e não reeleger nenhum político nas eleições de 2018. ","O ano está acabando, mas o mundo da política continua fervendo. E a relativa proximidade das eleições presidenciais, que acontecem em outubro de 2018 e promete causar reboliço, colabora para essa agitação de final de ano.",1
Embraer faz propaganda criticando impostos e políticos do Brasil #boato,17/12/2017,Edgard Matsuki,,"Boato – Em propaganda, Embraer cria vídeo criticando impostos, políticos e pedindo, com coragem, mudanças no Brasil. ","Dentre as tantas empresas que são criadas e extintas todos os anos no Brasil, algumas são consideradas especiais. Neste seleto grupo de empresas chamadas de “patrimônios nacionais” está a Embraer. Todo esse “orgulho” pela Embraer aumentou (principalmente para nacionalistas) depois que um vídeo começou a circular no Facebook e WhatsApp. A filmagem que mostra diversos aviões e mensagens na tela seria uma propaganda da Embraer.",1
Maria do Rosário pede que famílias recebam presos em ceia de Natal #boato,20/12/2017,Kyene Becker,,Boato – Deputada federal Maria do Rosário faz apelo para que famílias convidem presos que saíram no indulto de Natal para participarem de seus ceias.,"Faltam exatamente 5 dias para o Natal. Feriado que reune familiares para a famosa ceia de Natal, troca de presentes e histórias sobre o bom velhinho. E para quem está preso, este é o momento de rever a família por meio dos indultos ou saídas temporárias.",1
Paulo Maluf é flagrado acelerando Ferrari em 2017 #boato,22/12/2017,Carol Lira,,"Boato – Deputado Federal Paulo Maluf (PP-SP) é flagrado pilotando Ferrari em São Paulo, em junho de 2017, pouco antes de ser preso.",Nesta sexta-feira (22) o ,1
Marco Feliciano cria projeto que criminaliza sexo anal #boato,24/12/2017,Carol Lira,,Boato – Deputado federal Marco Feliciano (PSC-RJ) propõe projeto de lei 8.915/2017 que criminaliza o sexo anal. ,"Talvez seja só impressão dessa que voz fala, mas volta e meia, projetos de lei são protagonistas de boatos na internet. Só no Boatos.org, já apareceram projetos de lei sobre ",1
Crivella vai fechar a Feira de São Cristóvão no Rio de Janeiro #boato,28/01/2018,Carol Lira,,"Boato – O prefeito do Rio, Marcelo Crivella, decide fechar o Centro Luiz Gonzaga de Tradições Nordestinas, conhecido como Feira de São Cristóvão.","Há um ano à frente da prefeitura do Rio de Janeiro, o carioca Marcelo Crivella (PRB) já cumpriu 46% das 26 metas traçadas em 2017, segundo o ",1
"Globo é dona da Mapfre, maior empresa de previdência privada do Brasil #boato",17/12/2017,Edgard Matsuki,,"Boato – Está explicado por que a Globo defende tanto a reforma da Previdência. Ela é dona da Mapfre, maior empresa de previdência privada do Brasil.","Depois de um ano conturbado na política, o debate no final do ano no Congresso ficou centrado em um tema: a reforma da Previdência. De um lado, alguns congressistas da oposição (junto com a opinião pública) apontam que a reforma vai retirar direitos do trabalhador. Do outro, o governo defende que a “reforma é necessária, que só acaba com privilégios” e blábláblá.",1
Mulher de Gilmar Mendes agride repórter durante entrevista sobre Itaipu #boato,27/12/2017,Carol Lira,,Boato – Mulher do Gilmar Mendes agride repórter ao ser se questionada sobre nomeação no Conselho da Itaipu. ,Depois da ,1
FBI vai pedir a prisão de Lula e Dilma nos EUA #boato,28/12/2017,Carol Lira,,Boato – FBI pedirá prisão de Lula e Dilma nos Estados Unidos e as grandes redes de TV não estão informando o povo. ,"Com tantos escândalos políticos e boatos circulando por aí, fica até difícil reconhecer o que é verdade e o que é mentira na internet. Só neste ano, foram tantas reviravoltas no mundo político que chega a ser compreensível, né?",1
"Lula é expulso de restaurante em Natal (RN), mostra vídeo #boato",20/08/2017,Edgard Matsuki,,Boato – Vídeo mostra Lula sendo expulso de um restaurante chamado “Camarões” em Natal (RN) “sem ovada” e ao som de “Lula na cadeia”. ,"As viagens de prováveis candidatos nas eleições presidenciais de 2018 têm dado o que falar. Lula, João Dória e Jair Bolsonaro se envolveram em polêmicas com manifestantes nos últimos dias. E é justamente um vídeo sobre protestos que viralizou nas redes sociais nos últimos.",1
Maria do Rosário diz que perdoaria estuprador se fosse estuprada #boato,24/08/2017,Edgard Matsuki,,"Boato – Deputada Maria do Rosário disse, no Twitter, que perdoaria o estuprador se um dia ela fosse estuprada. ","Na semana anterior à esta postagem, uma decisão da Justiça chamou atenção. O STJ condenou o deputado Jair Bolsonaro (PSC-RJ) e indenizar a também deputada Maria do Rosário (PT-RS) em R$ 10 mil. O motivo foi ele ter falado que ela “não merecia ser estuprada”.",1
Diretor do Fantástico revela plano da Globo para trazer Lula de volta #boato,18/08/2017,Edgard Matsuki,,"Boato – Diretor do Fantástico, Luiz Nascimento, denunciou em áudio que a Globo, patrocinadores e o PT têm um plano para trazer Lula de volta. ","2018 já chegou! Mesmo faltando cerca de quatro meses para o ano de 2017 chegar ao fim, a internet tem se preocupado (um bocado) em já começar a debater as eleições presidenciais de 2018. A prova disso é a quantidade de boatos que estão circulando online em relação ao pleito do ano que vem.",1
Revista inglesa elege Lula como presidente mais corrupto do mundo #boato,25/08/2017,Edgard Matsuki,,Boato – O brasileiro Lula foi escolhido como presidente mais corrupto do mundo pela revista inglesa The Economist. ,"Há poucos dias, ",1
Michel Temer confiscará poupança do povo brasileiro #boato,29/08/2017,Edgard Matsuki,,Boato – Notícia urgente! Presidente Michel Temer vai confiscar o dinheiro da poupança do povo brasileiro por causa da crise.,"Que o Brasil não atravessa um momento confortável, isso é fato. E, em meio à turbulência política (viva desde as jornadas de junho de 2013), a economia não está “de vento em popa”. Apesar de alguns dados apontarem que o país está saindo da UTI, o caminho é longo até chegarmos a sonhada estabilidade (se é que um dia o país teve).",1
Juiz Erick Bretas faz texto sobre o que se passa no Brasil corrupto #boato,06/09/2017,Edgard Matsuki,,,"Com a “migração” de alguns processos da Lava Jato para outros estados brasileiros, o nome de outros juízes tem começado a aparecer na mídia junto com o do já conhecidíssimo Sérgio Moro. Dentre estes nomes, um dos mais citados é o do juiz federal Marcelo Bretas, do Rio de Janeiro.",1
Jean Wyllys diz que casamento infantil islâmico não é pedofolia #boato,31/08/2017,Hellen Bizerra,,Boato – Deputado Jean Wyllys afirmou que casamento infantil islâmico não é pedofilia e sim uma manifestação cultural.,"Diversidade cultural é a gigantesca rede de costumes, hábitos e modos de viver que existem no mundo. E essa diversidade é tão grande que acaba sendo difícil distinguir e entender como as diferentes culturas funcionam.",1
"Mariana Jucá, filha de Romero é dona da mineradora que vai explorar a Renca #boato",05/09/2017,Carol Lira,,"Boato – Mariana Jucá, filha do senador Romero Jucá, é dona de mineradora que explorará a Renca, reserva amazônica extinta por Temer.","Por meio de um decreto, o presidente Michel Temer extinguiu, no dia 23 de agosto de 2017, a Reserva Nacional de Cobre e seus Associados (Renca) para implementar a exploração mineral no local. A Renca é uma área de reserva na Amazônia de 46.450 km², localizada na divisa entre Pará e Amapá.",1
Globo se alinhou com a esquerda e vai adotar a cor vermelha #boato,18/08/2017,Edgard Matsuki,,"Boato – Jornalista denunciou que a Globo quer trazer Lula em 2018, se alinhou com a esquerda e vai colocar uma luz de cor vermelha nos jornais. ",Um áudio tem causado muita discussão na internet. O arquivo seria de um jornalista da Globo e estaria denunciando um plano da emissora para trazer Lula de volta ao poder em 2018.,1
Áudio de Lula grampeado falando com Rui Falcão sobre Palocci #boato,09/09/2017,Edgard Matsuki,,Boato – Áudio mostra momento em que Lula é grampeado conversando com Rui Falcão. Conversa teria acontecido após delação de Palocci. ,"Mesmo sendo em uma semana “mais curta” por causa do feriado de 7 de setembro, os últimos dias foram anormais até para o conturbado cenário político brasileiro. Teve fortuna encontrada em apartamento ligado a político, vazamento de áudio de delatores da JBS, denúncia contra Lula, Dilma e outros políticos no STF e depoimento de Antônio Palocci detonando o ex-presidente.",1
Mário Sérgio Cortella fala sobre Lula após depoimento de Palocci #boato,10/09/2017,Edgard Matsuki,,Boato – O filósofo Mário Sérgio Cortella fez texto e disse que o “mito está nu” ao se referir a Lula após depoimento de Palocci.,"No meio tantas “bombas políticas”, uma em especial tem gerado muita polêmica. Após o depoimento do ex-ministro Antônio Palocci ao juiz Sérgio Moro, muitas histórias sobre Lula têm aparecido e viralizado na internet.",1
Jair Bolsonaro criou projeto que prevê o fim do IPVA #boato,18/09/2017,Edgard Matsuki,,Boato – Deputado Jair Bolsonaro criou um projeto de lei que prevê o fim do IPVA. Ele será aprovado se as pessoas assinarem uma petição online. ,"Daqui para frente, é bem possível que você, leitor do Boatos.org, veja o nome de Jair Bolsonaro com mais frequência por aqui. O deputado federal e provável candidato à Presidência já está em campanha eleitoral. Uma das consequências disso é que o nome dele vai aparecer cada vez mais no mundo da boataria.",1
Jean Wyllys vai lançar o filme Jesus A Diva da Mentira #boato,13/09/2017,Edgard Matsuki,,Boato – Deputado federal Jean Wyllys vai lançar Jesus A Diva da Mentira. Será o filme de estreia dele como diretor. ,"Nos últimos dias, uma polêmica tomou conta da internet. Depois de diversas denúncias de que uma exposição promovida pelo banco Santander em Porto Alegre “profanava” contra Jesus e defendia a pedofilia e a zoofilia, a mostra foi cancelada e o assunto viralizou.",1
Governo Temer vai bloquear dinheiro das contas da Caixa #boato,22/07/2017,Hellen Bizerra,,Boato – Governo Temer vai mandar bloquear dinheiro que estejam em contas da Caixa antes de ele deixar o governo.,As pessoas estão insatisfeitas com o aumento do imposto sobre ,1
Vídeo de Lula falando sobre sítio de Atibaia é encontrado #boato,,Edgard Matsuki,,Boato – Vídeo antigo mostra dona Marisa e Lula falando sobre o sítio de Atibaia. A casa caiu para o ex-presidente.,"Se a política no Brasil fosse, de fato, uma série, estaríamos em vias de terminar uma das temporadas. Uma das ramificações da trama é, sem dúvida, o processo de Lula que está nas mãos do juiz Sérgio Moro. O magistrado da Lava Jato está prestes a dar o veredicto em primeira instância para o ex-presidente. Em meio à expectativa da sentença, uma informação tem bombado na web.",1
Bolsonaro desmascara Temer e manda recado sobre safadeza #boato,17/08/2017,Edgard Matsuki,,"Boato – Jair Bolsonaro, provável candidato em 2018, desmascarou Temer e mandou recado sobre safadeza para o presidente. ","Como já falamos anteriormente, o nome de Jair Bolsonaro tende a ser, cada vez mais, figura frequente na boataria online. Só hoje (16/08/2017), o Boatos.org desmentiu três histórias sobre ele. Além dos “causos” de ",1
Lula e Dilma são padrinhos no casamento de Wesley Batista #boato,22/05/2017,Edgard Matsuki,,"Boato – Foto mostra Lula, Dilma Rousseff e Marisa Letícia no casamento de Wesley Batista, um dos donos da JBS. Eles foram padrinhos na cerimônia.","A delação da JBS continua rendendo. Depois do momento inicial de “choque” com as revelações de executivos da empresa, começa-se a discutir quais são os efeitos na política brasileira. E claro, boatos continuam aparecendo (se você não os viu, ",1
Capa da Veja aponta que Sérgio Moro enganou povo brasileiro #boato,23/05/2017,Edgard Matsuki,,,"Há menos de uma semana, a realidade política do Brasil se transformou. Desde o vazamento da informação de que executivos da JBS fariam uma delação premiada, a internet não parou de receber boatos. De ",1
Talysson de Almeida da PF diz que Lula se encontrou com delegado da Lava Jato #boato,16/09/2017,Kyene Becker,,"Boato – Talysson de Almeida, funcionário da Polícia Federal, afirma que Lula ofereceu benefícios em troca de “vistas grossas” na Lava Jato.","As investigações da Operação Lava Jato não param. A cada novo depoimento, principalmente aqueles envolvendo nomes famosos, como o do ex-presidente Lula, histórias e mais histórias conspiratórias invadem as redes sociais.",1
Jair Bolsonaro recebeu R$ 200 mil de propina da JBS em 2014 #boato,22/05/2017,Edgard Matsuki,,"Boato – Durante a campanha eleitoral de 2014, o deputado federal Jair Bolsonaro recebeu propina de R$ 200 mil da JBS.","Depois das delações de executivos da Odebrecht e da JBS, poucos são os políticos de expressão nacional que falam que estão limpos. Um desses políticos que “podem encher a boca para falar” é o deputado Jair Bolsonaro (PSC/RJ). Quer dizer, “podia”. Porque, de acordo com um texto que circula online, ele está na lista de propinas da JBS.",1
Sérgio Moro escreveu texto surpreendente em blog há 20 anos #boato,23/05/2017,Hellen Bizerra,,"Boato – Durante a faculdade, Sérgio Moro manteve um blog onde escrevia sobre diversos temas e agora teve uma mensagem sua descoberta.","A política brasileira é como um folhetim do século XIX, a cada semana temos estampado no jornal (ou na internet, fazendo as adaptações cabíveis) um capítulo diferente de uma trama absurda e inacreditável.",1
Policiais são filmados quebrando vidraças de ministérios em Brasília #boato,26/05/2017,Edgard Matsuki,,Boato – Um grupo de policiais é flagrado quebrando vidraças de ministérios durante protesto que ocorreu contra Michel Temer em Brasília.,"O protesto que aconteceu no dia 24 de maio de 2017 está sendo repercutido até agora. Se você esteve em marte ou simplesmente não liga muito para política, vamos fazer um resumo do que aconteceu: centrais sindicais organizaram um grande protesto em Brasília pedindo a saída de Temer e eleições diretas. Dada a impopularidade do governo e delação da JBS, o protesto teve mais adesão que se esperava. Porém, um grupo entrou em confronto com a polícia do Distrito Federal.",1
Aécio Neves prepara delação premiada junto com Andrea Neves #boato,26/05/2017,Hellen Bizerra,,"Boato – Afastado do cargo de senador e da presidência do PSDB após denúncia da JBS, Aécio Neves vai entregar todos em delação premiada.","O capítulo mais recente da novela política brasileira ainda está fresco na cabeça de todos nós. Após o escândalo da delação de Joesley Batista (que gravou conversas comprometedoras com o presidente Michel Temer e com Aécio Neves), está tudo de ponta cabeça no meio político.",1
Palocci disse que Lula e Gleisi são amantes há anos #boato,11/09/2017,Edgard Matsuki,,"Boato – Em depoimento na Polícia Federal, Antônio Palocci disse que Lula e Gleisi Hoffmann têm um relacionamento amoroso há anos.","O depoimento bombástico de Antônio Palocci ao juiz Sérgio Moro tem dado o que falar. Para além de todas as discussões políticas que surgiram após a fala do ex-ministro, boatos têm “brotado” na internet.",1
Globo é a primeira da lista de maiores devedores do BNDES #boato,29/05/2017,Edgard Matsuki,,,"Em meio ao tsunami da delação da JBS, uma das empresas atingidas com “abalos secundários” foi o BNDES. Alegando problemas pessoas, Maria Silvia Bastos Marques pediu demissão da Presidência do banco no dia 27 de maio. Coincidência ou não, Maria Silvia havia sido muito criticada por empresários pela política de endurecimento de regras para financiamento a juros “camaradas”.",1
Lula é dono de empresa de Delaware (EUA) que tem 14% da JBS #boato,23/05/2017,Carol Lira,,"Boato – Ex-presidente Lula é dono da offshore, sediada em Delaware, nos Estados Unidos, que possui 14% da JBS.",Uma das balelas que fez mais sucesso na internet e nas páginas do ,1
"Lula, Dilma, FHC e outros se encontram com Temer no Jaburu #boato",01/06/2017,Hellen Bizerra,,"Boato – Lula, Dilma, FHC e outros políticos comunistas do alto escalão se encontram com Temer para preparar golpe.","As coisas continuam quentes em Brasília após semanas da divulgação das gravações feitas por Joesley Batista. Um novo ministro da Justiça assumiu o cargo, Fachin aceitou o pedido de abertura de inquérito contra Temer, nomes do PT também apareceram nas denúncias. A coisa toda segue uma bagunça.",1
Ilha da família Lula é descoberta pelo MPF e custa R$ 4 milhões #boato,28/05/2017,Edgard Matsuki,,Boato – Ministério Público Federal descobriu a ilha da família Lula. Ela é Ilha dos Macacos e custa R$ 4 milhões.,"Dentre todos os personagens de histórias falsas na internet, com certeza o ex-presidente Luiz Inácio Lula da Silva é o que tem mais “bens atribuídos a ele”. Nos últimos dias, uma nova (nem tão nova) história relacionada a uma posse de Lula tem circulado online.",1
Dória grafita pênis e pinta em cima do mural de Kobra #boato,02/06/2017,Kyene Becker,,"Boato – Prefeito de São Paulo, João Dória, grafita pênis e coração em cima do antigo mural de Kobra, na avenida 23 de maio.","Após declarar guerra contra os pichadores nos primeiros meses de seu mandato, o prefeito de São Paulo, João Dória, apareceu no dia 28 de maior de 2017 grafitando um muro em São Paulo. Logo após a notícia ser divulgada, o burburinho sobre a contradição das atitudes do atual prefeito de SP tomou as redes sociais.",1
Lula é levado às pressas ao hospital Sírio-libanês #boato,06/06/2017,Edgard Matsuki,,Boato – Ex-presidente Lula foi internado no hospital Sírio-libanês. Assessoria disse que caso é grave e ele pode morrer.,"Mesmo com a crise política no Planalto, o nome de Lula continua nos “trends”. Todos os dias a internet comenta algo sobre o ex-presidente que está sendo investigado na Lava Jato. Boa parte desses comentários são falsos. Desses, alguns são falsos e repetidos.",1
Presidente do Banco Mundial critica governo Temer na CBN #boato,20/02/2017,Edgard Matsuki,,"Boato – Jim Yong Kim, presidente do Banco Mundial (Bird), deu uma entrevista ao programa Noite Total, da CBN, em que critica o governo de Michel Temer.","Quando Dilma estava no poder, muitos internautas criticavam a enxurrada de boatos que circulavam online sobre a ex-presidente. Até aí tudo bem. O grande problema é que muitos destes perfis começaram a compartilhar muitos boatos sobre Temer depois que ele entrou no poder.",1
Michel Temer decreta redução do salário mínimo para 2018 #boato,22/08/2017,Carol Lira,,Boato – Presidente Michel Temer anuncia redução do salário mínimo para 2018. A medida faz parte dos esforços para conter gastos. ,"Em tempos de crise, as pessoas ficam mais sensíveis aos boatos. A prova disso está no rebuliço que a história da “redução do salário mínimo” gerou.",1
Vídeo de Marcela Temer dançando vaza na internet #boato,23/02/2017,Edgard Matsuki,,Boato – Hacker revela vídeo de Marcela Temer dançando. Ele já havia revelado fotos dela na internet após pedir R$ 300 mil.,"Falando de forma simplista, podemos resumir a relação da primeira-dama Marcela Temer com a mídia em três momentos. O primeiro foi quando Dilma Rousseff assumiu a Presidência em República. Ao lado de Michel Temer (então vice-presidente), ela roubou a cena na cerimônia de posse em 2011.",1
Riqueza de Lulinha vai ser publicada na Veja neste final de semana #boato,01/03/2017,Carol Lira,,"Boato – Em São Paulo, revista Veja lança neste final de semana matéria sobre a riqueza de Lulinha. Repasse!","Hoje em dia, o mundo da boataria está cheio de gente que vive a filosofia do “nada se cria, tudo se copia”. Os boatos se transformam e cada vez com menos criatividade.",1
Ferrari FF de Beto Richa chegou ao aeroporto de Curitiba #boato,03/06/2017,Edgard Matsuki,,Boato – A primeira Ferrari FF chegou ao Brasil. Ela pertence ao governador do Paraná Beto Richa e custa R$ 4 milhões.,"Todos os casos de corrupção revelados nos últimos tempos têm feito a confiança da população perante os políticos cair cada vez mais. E no meio do “salve-se quem puder”, um lado ataca outro na internet. O último “alvo” é o governador do Paraná, Beto Richa (que, por sinal, está na lista da Lava Jato).",1
