titulo,vinheta,tempo,data_explicita,autoria,lead,principal,texto,label
É #FAKE que vídeo mostre Talibã usando helicóptero para enforcar homem e executá-lo em público, Fato ou Fake ,Há 9 meses, 03/09/2021 ," Por Roney Domingos, G1 ","Homem, na verdade, é integrante do Talibã e foi pendurado para hastear uma bandeira no alto de um edifício público."," Circula pelas redes sociais um vídeo que mostra um helicóptero no ar e um homem preso a ele por uma corda. Legendas dizem que as imagens mostram o aparelho, pilotado pelo Talibã no Afeganistão, sendo utilizado para enforcar um dos agentes que colaboraram com o governo americano. É #FAKE. "," Assim que o vídeo foi ao ar, postado inclusive por políticos americanos, também apareceram esclarecimentos de que o homem pendurado à corda é um integrante do Talibã e estava tentando hastear uma bandeira do grupo político que assumiu o poder em um mastro quando foi filmado. ",1
É #FAKE que Parlamento Europeu aprovou resoluções contra obrigatoriedade das vacinas e certificados Covid, CoronaVírus ,Há 9 meses, 04/09/2021 , Por G1 ,"Mensagem falsa atribui ao poder Legislativo da União Europeia decisões não tomadas. Textos, na verdade, são de uma organização de defesa dos direitos humanos e foram tirados de contexto. Parlamento aprovou em junho projeto que permite emissão de certificados Covid.", Circula nas redes sociais uma imagem que atribui ao Parlamento Europeu duas resoluções: uma contra a obrigatoriedade das vacinas contra a Covid-19 e outra contra os certificados Covid. É #FAKE. ," Nenhuma das resoluções foi aprovada no Parlamento Europeu, o poder Legislativo da União Europeia, formado por 705 deputados (que representam todos os Estados-membros). ",1
É #FAKE que imagem mostre rio tingido de sangue após ataque em Cabul, Fato ou Fake ,Há 9 meses, 01/09/2021 ," Por Roney Domingos, G1 ","Imagem, na verdade, é de manifestação artística realizada em 2017 contra a morte de civis. Trata-se de tinta jogada no rio."," Circula pelas redes sociais a imagem de uma água totalmente vermelha onde boiam roupas, um par de botas e um frasco de xampu. Legendas afirmam que a imagem está relacionada ao"," Após a menção ao recente ataque no país, que foi tomado pelo Talibã, o texto da mensagem falsa ainda complementa: ""Na água vermelha estão a alma e os sonhos de centenas de milhares de afegãos abandonados no Afeganistão"". ",1
É #FAKE que vídeo mostre mulher sendo queimada viva no Afeganistão, Fato ou Fake ,Há 9 meses, 01/09/2021 ," Por Roney Domingos, G1 ",Imagens são antigas e foram registradas na Guatemala., Circula nas redes sociais um vídeo que mostra uma multidão espancando uma adolescente e a incendiando ainda viva. Uma voz em árabe e legendas em diversos idiomas afirmam que a cena foi gravada no Afeganistão após o Talibã assumir o poder. É #FAKE. ," O vídeo, chocante, está publicado na internet desde 2015. As imagens foram gravadas na Guatemala, país da América Central distante quase 15 mil km do Afeganistão. Há diversos registros sobre o caso na ",1
É #FAKE que gráfico mostre evolução de prisões arbitrárias no Brasil, Fato ou Fake ,Há 9 meses, 07/09/2021 , Por G1 ,Mensagem disseminada por ex-ministro da Educação Abraham Weintraub utiliza gráfico do Wikipedia. Não há nenhum tipo de levantamento com números sobre 'violações de lares'.," Circula nas redes sociais um gráfico junto de uma mensagem que atribui os dados contidos nele a ""prisões arbitrárias, violações de lares e processos inconstitucionais contra conservadores"". É #FAKE. "," A mensagem, que foi disseminada pelo ex-ministro da Educação Abraham Weintraub, tem sido bastante compartilhada nas redes sociais. ",1
É #FAKE que vídeo prova que Mariah Carey fingiu ter sido vacinada, CoronaVírus ,Há 9 meses, 31/08/2021 ," Por Roney Domingos, G1 ","Vídeo circula em grupos antivacina com legendas em português que fazem falsa alegação. Imagem mostra, na verdade, seringa retrátil, usada para garantir mais segurança a quem recebe e a quem aplica a vacina."," Circula pelas redes sociais, especialmente no Telegram, um vídeo que mostra a cantora Mariah Carey tomando a vacina contra a Covid-19. Uma legenda diz que as imagens provam que ela apenas fingiu ter sido imunizada porque não há sangue e a agulha não aparece após a vacinação. É #FAKE. "," O texto, em português, sugere que, da próxima vez, a cantora ""compre uma agulha falsa melhor"". Ocorre que a seringa retrátil, utilizada na imunização, é comumente usada para garantir mais segurança para quem recebe a vacina e para quem a aplica. Não houve nenhum fingimento no vídeo. ",1
É #FAKE que foto de pai chorando com criança de colo foi feita no Afeganistão, Fato ou Fake ,Há 9 meses, 31/08/2021 ," Por Roney Domingos, G1 ","Imagem que circula em redes sociais com legendas que a relacionam à tomada do poder pelo Talibã, na verdade, foi feita em 2017 e no Iraque."," Circula pelas redes sociais uma foto que mostra um homem chorando enquanto corre e segura uma menina no colo. Uma legenda diz: ""O que você pensa vendo esta imagem? O Afeganistão pedindo misericórdia com uma criança no colo e pedindo socorro para o mundo"". É #FAKE. "," A imagem não foi registrada no Afeganistão, que vive um acirramento de sua crise humanitária desde que o Talibã assumiu o poder, em 15 de agosto. A foto é antiga. Ela foi feita em 2017, em Mosul, no Iraque. ",1
É #FAKE que Lula fez ameaça a padres e pastores durante discurso em Natal, Fato ou Fake ,Há 9 meses, 31/08/2021 ," Por Roney Domingos, G1 ",Vídeo foi editado e parte do discurso foi suprimida para alterar o sentido da fala.," Circula nas redes sociais um vídeo que mostra o ex-presidente Luiz Inácio Lula da Silva, de máscara, falando ao microfone. Uma legenda diz que Lula mandou um recado a pastores e padres, ameaçando-os caso seja eleito. É #FAKE. "," O vídeo editado dá entender que Lula se dirigiu aos religiosos quando proferiu a seguinte declaração: ""Se eu ganhar as eleições, aí eu vou conversar como chefe supremo para dizer qual é o papel deles. Não é se intrometer na política porque isso não dá certo"". ",1
É #FAKE que garoto fez discurso elogiando Bolsonaro em frente a Lula durante evento na Bahia, Fato ou Fake ,Há 9 meses, 30/08/2021 ," Por Louise Queiroga, O Globo ","Trechos do discurso do menino foram suprimidos para dar sentido inverso ao que foi dito. Na verdade, ele fez críticas ao atual presidente, classificando-o de 'racista' e 'genocida'.", Circula nas redes sociais um vídeo de um menino falando ao microfone durante um evento com o ex-presidente Lula. Os trechos dão a entender que ele fez elogios ao atual presidente Jair Bolsonaro ao mesmo tempo em que criticou o petista à sua frente. É #FAKE. ," Embora as imagens sejam verdadeiras, o discurso da criança foi editado para alterar o sentido das declarações. ""Boa tarde, companheiros e companheiras. Tudo bem? Se não fosse Bolsonaro de estar no lugar de Lula, nosso país iria estar quebrado. E é sério. Eu estou falando uma verdade. Esse que é o verdadeiro guerreiro"", diz o menino na montagem feita, gerando um discurso falso. ",1
É #FAKE que vídeo mostre Lula bêbado tentando chutar bola em quadra poliesportiva, Fato ou Fake ,Há 9 meses, 30/08/2021 ," Por Elaine Neves, O Globo ","Ex-presidente não aparece nas imagens. Vídeo mostra, na verdade, prefeito de Tianguá (CE) confundindo a bola com a marca na quadra.", Circula nas redes sociais um vídeo em que um homem aparece em uma quadra esportiva no interior do Ceará tentando chutar uma bola de futebol em meio a crianças. Legendas dizem que se trata do ex-presidente Lula bêbado em um evento. É #FAKE. ," A descrição do vídeo publicado no TikTok e compartilhado também no Twitter diz que “o líder das pesquisas"" está ""cheio de cachaça”, sugerindo que Lula estava embriagado por não acertar a bola de futebol e, na sequência, chutar a marca do pênalti. ",1
É #FAKE que vídeo mostre missionárias dentro de sacos plásticos no Afeganistão, G1 Fato ou Fake ,Há 9 meses,,,"Imagens, na verdade, foram feitas em Medellín, na Colômbia, em protesto contra a morte de manifestantes de oposição ao governo. Pessoas no interior das embalagens não estão mortas.",,,1
É #FAKE que vídeo mostre militares indianos passando mal após tomar vacina contra a Covid-19, CoronaVírus ,Há 9 meses, 30/08/2021 ," Por Roney Domingos, G1 ","Soldados passaram mal, na verdade, devido ao treinamento intenso sob forte calor. As imagens não têm qualquer relação com os imunizantes, como alegam grupos antivacina no Telegram e no BitChute.", Circula nas redes sociais um vídeo que mostra soldados uniformizados sendo socorridos. Uma legenda diz que são militares indianos entrando em colapso após tomarem a vacina contra a Covid-19. É #FAKE. ," O vídeo não mostra militares indianos entrando em colapso por causa de nenhuma vacina. Na verdade, as imagens revelam soldados sendo socorridos devido ao calor excessivo durante um treinamento. ",1
É #FAKE que vídeo mostre missionárias dentro de sacos plásticos no Afeganistão, Fato ou Fake ,Há 9 meses, 31/08/2021 ," Por Roney Domingos, G1 ","Imagens, na verdade, foram feitas em Medellín, na Colômbia, em protesto contra a morte de manifestantes de oposição ao governo. Pessoas no interior das embalagens não estão mortas."," Circula pelas redes sociais um vídeo que mostra pessoas dentro de sacos plásticos no meio da rua. Uma legenda que acompanha as imagens diz: ""São missionárias no Afeganistão jogadas em praça pública dentro de sacos plásticos para morrer por causa da palavra de Deus"". É #FAKE. "," O vídeo, na verdade, mostra uma performance artística realizada no Parque Poblado, em Medellín, na Colômbia, em maio deste ano, durante um dia de protestos contra o governo. ",1
É #FAKE que vídeo mostre explosão perto de hotel em Cabul, Fato ou Fake ,Há 10 meses, 26/08/2021 , Por G1 ,"Imagens são, na verdade, de ataque aéreo israelense contra o Hamas, em Gaza, no dia 21."," Circula em redes sociais um vídeo de 14 segundos que mostra uma explosão filmada à noite seguida de uma legenda que relaciona as imagens ao ataque ocorrido nesta quinta (26) no aeroporto de Cabul, no Afeganistão. É #FAKE. "," O vídeo foi registrado no dia 21 e não mostra o ataque ao aeroporto de Cabul nem a um hotel próximo a ele. As imagens são, na verdade, de um ataque aéreo israelense contra o Hamas, em Gaza. A cena, inclusive, consta de reportagem do jornal ",1
"É #FAKE panfleto de Collor de 1989 com slogan 'Brasil acima de tudo, Deus acima de todos'", G1 Fato ou Fake ,Há 10 meses,,,Manipulação em cartaz tem mote de campanha de Bolsonaro em 2018. Busca reversa nas imagens mostra que a foto original tem os slogans 'Vamos construir um Brasil novo' e 'Collor é progresso'.,,,1
"É #FAKE panfleto de Collor de 1989 com slogan 'Brasil acima de tudo, Deus acima de todos'", Fato ou Fake ,Há 10 meses, 25/08/2021 , Por G1 ,Manipulação em cartaz tem mote de campanha de Bolsonaro em 2018. Busca reversa nas imagens mostra que a foto original tem os slogans 'Vamos construir um Brasil novo' e 'Collor é progresso'. ," Circula nas redes sociais um santinho do senador e ex-presidente Fernando Collor de Mello na campanha de 1989 com o slogan ""Brasil acima de tudo, Deus acima de todos"". Ele é #FAKE. "," Uma busca reversa na imagem mostra que o cartaz tem, na verdade, os slogans ""Vamos construir um Brasil novo"" e ""Collor é progresso"". É possível se certificar disso ainda consultando o trabalho """,1
É #FAKE que bandeiras vermelhas em Brasília foram hasteadas por comunistas antigoverno, G1 Fato ou Fake ,Há 10 meses,,,"Imagens são de bandeiras com as cores de Guiné-Bissau hasteadas por ocasião da visita do presidente do país, Umaro Sissoco Embaló, a Jair Bolsonaro nesta terça-feira (24). Já o acampamento na Esplanada dos Ministérios é formado por indígenas que protestam contra medidas que dificultam demarcação de terras.",,,1
É #FAKE que Lula disse que PT é organização criminosa e que é possível comprar voto dos baianos por R$ 10, Fato ou Fake ,Há 10 meses, 25/08/2021 , Por G1 ,"Entrevista antiga, feita em 2017, foi editada para sustentar mensagem falsa que circula nas redes. No vídeo completo, o ex-presidente, na verdade, descreve como a força-tarefa da Lava Jato vê o partido e diz, no fim: 'Essa tese não se sustenta'. A frase, porém, foi suprimida da versão viral. Parte que fala dos R$ 10 também foi tirada de contexto e colada a um outro trecho totalmente diferente.", Circula nas redes sociais um vídeo com parte de uma entrevista dada pelo ex-presidente Lula a uma rádio. Os trechos dão a entender que ele afirmou que o PT é uma organização criminosa e que é possível comprar por apenas R$ 10 o voto de um morador da Bahia. É #FAKE. ," A mensagem falsa ironiza: ""Será que vão dizer que esse áudio também foi editado?"" E a resposta é: sim. Houve uma edição tirando as falas do contexto. A entrevista completa tem quase 50 minutos de duração e foi feita há exatos quatro anos, em agosto de 2017, pela ",1
É #FAKE que Singapura fez autópsia em vítima de Covid-19 e descobriu que a doença é causada por bactéria exposta à radiação, CoronaVírus ,Há 10 meses, 26/08/2021 ," Por Roney Domingos, G1 ","Virologista Rômulo Neris explica que 'o agente microbiológico causador da Covid-19 é o Sars-Cov-2, um vírus'. O Ministério da Saúde de Singapura afirma que as alegações são todas falsas."," Circula nas redes sociais uma mensagem que diz que Singapura foi o primeiro país do mundo a fazer uma autópsia no corpo de uma vítima do novo coronavírus e descobriu que a Covid-19, na verdade, é causada por uma bactéria exposta à radiação. É #FAKE. "," O virologista Rômulo Neris, doutorando da Universidade Federal do Rio de Janeiro, explica que ""o agente microbiológico causador da Covid-19 é o Sars-Cov-2, um vírus de RNA pertencente aos betacoronavírus"". ",1
É #FAKE que bandeiras vermelhas em Brasília foram hasteadas por comunistas acampados contra Bolsonaro, Fato ou Fake ,Há 10 meses, 24/08/2021 ," Por Roney Domingos, G1 ","Imagens são de bandeiras com as cores de Guiné-Bissau hasteadas por ocasião da visita do presidente do país, Umaro Sissoco Embaló, a Jair Bolsonaro nesta terça-feira (24). Já o acampamento na Esplanada dos Ministérios é formado por indígenas que protestam contra medidas que dificultam demarcação de terras."," Circula nas redes sociais um vídeo em que um homem filma bandeiras hasteadas ao longo de vias de Brasília e afirma que faixas vermelhas foram inseridas nos símbolos do Brasil. Em outra publicação, a autora afirma que a imagem revela um ""perigo"", pois, segundo ela, as bandeiras foram colocadas em cima das nacionais por comunistas acampados com faixas contra o presidente da República. É tudo #FAKE. "," Os autores das mensagens falsas falam em ""guerra"" nas postagens com tom apocalíptico. ",1
É #FAKE que Singapura descobriu que a Covid é causada por bactéria exposta à radiação, G1 Fato ou Fake ,Há 10 meses,,,"Virologista Rômulo Neris explica que 'o agente microbiológico causador da Covid-19 é o Sars-Cov-2, um vírus'. O Ministério da Saúde de Singapura afirma que as alegações são todas falsas.",,,1
É #FAKE que vídeo mostre missionários condenados à morte pelo Talibã sendo executados de joelhos no Afeganistão, Fato ou Fake ,Há 10 meses, 23/08/2021 ," Por Roney Domingos, G1 ","Vídeo de execução em massa foi feito, na verdade, em Aleppo, na Síria, em 2014. Já texto que fala em 229 missionários sentenciados circula na internet desde 2009."," Circula nas redes sociais um vídeo que mostra homens de joelhos sendo executados pelas costas com tiros na cabeça por homens de máscaras. Uma legenda que acompanha as imagens fala que são ""229 missionários cristãos condenados à morte pelos islâmicos afegãos"". É #FAKE. "," As imagens, na verdade, são antigas e foram feitas em Aleppo, na Síria, em 2014. O vídeo mostra a execução de soldados sírios que protegiam o hospital Al-Kindi após tropas rebeldes extremistas tomarem o local. Ele não tem, portanto, relação com a recente crise instalada no Afeganistão depois de o ",1
É #FAKE e-mail do Conecte SUS que convida para 3ª dose da vacina contra Covid-19, G1 Fato ou Fake ,Há 10 meses,,,Ministério da Saúde afirma que mensagem é falsa. Órgão ressalta que acompanha estudos que avaliam a necessidade e a eficácia de uma possível terceira dose. E orienta a procurar sempre os canais oficiais em caso de dúvida.,,,1
É #FAKE que vídeo mostre multidão invadindo aeroporto de Cabul aos gritos e de forma desordenada, Fato ou Fake ,Há 10 meses, 19/08/2021 ," Por Roney Domingos, G1 ","As cenas são, na verdade, de torcedores entrando no AT&T Stadium para assistir a um jogo entre os times de futebol americano Dallas Cowboys e Seattle Seahawks, em Arlington, Texas, em 2019.", Circula nas redes sociais um vídeo que mostra uma multidão entrando desordenadamente em um prédio aos gritos. Legendas dizem que as cenas mostram afegãos invadindo o aeroporto de Cabul de forma desesperada para deixar o país. É #FAKE. ," ""Onde está a ONU? Por que nem todas as nações estão se reunindo para ajudá-los? Isso é tão triste"", diz a legenda que acompanha o vídeo. ",1
É #FAKE mensagem em cartaz que sugere Coronavac como causa da morte de artistas, CoronaVírus ,Há 10 meses, 31/08/2021 ," Por Roney Domingos, G1 ",Montagem distorce fatos e insinua que todas as celebridades tomaram a vacina do Butantan antes de morrer. Não é verdade., Circula pelas redes sociais uma imagem que mostra diversos artistas que morreram desde o início da pandemia acompanhada de uma legenda que sugere que as mortes ocorreram por causa da vacina do Butantan contra a Covid-19. É #FAKE. ," A montagem, que reúne as imagens de dez personalidades, faz uma crítica direta ao governador de São Paulo, João Doria, e ao Instituto Butantan, responsável pela Coronavac. ",1
É #FAKE que casca do limão seja mais eficaz contra o câncer que quimioterapia, Fato ou Fake ,Há 10 meses, 19/08/2021 ," Por Roney Domingos, G1 ",Especialistas refutam totalmente a alegação. Eles dizem que não existe comprovação científica para essa teoria e pedem que mensagem não seja compartilhada.," Circula pelas redes sociais uma mensagem que diz que ""os benefícios surpreendentes do limão são a capacidade milagrosa de matar células cancerosas"" e que a casca da fruta ""é 10 mil vezes mais forte do que a quimioterapia"". É #FAKE. "," A mensagem viral é sinalizada pelo WhatsApp como """,1
É #FAKE e-mail do Conecte SUS que convida para 3ª dose da vacina contra Covid-19, CoronaVírus ,Há 10 meses, 25/08/2021 ," Por Roney Domingos, G1 ",Ministério da Saúde afirma que mensagem é falsa. Órgão ressalta que acompanha estudos que avaliam a necessidade e a eficácia de uma possível terceira dose. E orienta a procurar sempre os canais oficiais em caso de dúvida., Uma mensagem de e-mail que imita o logotipo do Conecte SUS apresenta a destinatários o que afirma ser um convite para uma dose extra da vacina contra a Covid-19. É #FAKE. , O Ministério da Saúde afirma que a mensagem é completamente falsa. A pasta ressalta que acompanha ,1
Fakes sobre o Afeganistão: homem fugindo em turbina de avião e mais, G1 Fato ou Fake ,Há 10 meses,,,Fato ou Fake desmente dois boatos que usam imagens tiradas de contexto sobre a situação do afeganistão após a voltado talibã ao poder,,,3
É #FAKE que Niemeyer declarou que Brasília devia ter sido projetada em formato de camburão, Fato ou Fake ,Há 10 meses, 23/08/2021 ," Por Roney Domingos, G1 ","Bisneto do renomado arquiteto diz que ele jamais deu tal declaração e que nunca usou um vocabulário como esse. 'O Oscar, apesar de ser um comunista convicto, acreditava na democracia e nos políticos, dentre os quais teve grandes amigos e parceiros, no Brasil e no exterior', diz Paulo Sérgio Niemeyer. Frase não aparece em nenhum site confiável."," Circula pelas redes sociais um cartaz com uma foto do arquiteto Oscar Niemeyer acompanhada de uma legenda que atribui a ele a seguinte frase: ""Projetar Brasília para os políticos que vocês colocaram lá foi como criar um lindo vaso de flores para vocês usarem como pinico. Hoje eu vejo tristemente que Brasília nunca deveria ter sido projetada em forma de avião, mas, sim, de camburão"". É #FAKE. "," Paulo Sérgio Niemeyer, bisneto do célebre arquiteto, afirma que a fala não é verdadeira. ""Isso sempre me incomodou, pois, por conviver com ele, nunca o ouvi pronunciar esta fala. E o conhecendo, sei que ele não diria isto"", afirma. ",1
É #FAKE que Globo fez reportagem no Fantástico admitindo possibilidade de fraudes nas urnas no país, Fato ou Fake ,Há 10 meses, 25/05/2022 , Por G1 ,"Vídeo que circula no WhatsApp omite trechos da reportagem, exibida em 2008, que fala de um golpe. Nela, especialistas descartam o que é dito pelo homem responsável pelos crimes. Golpista chega a dizer que tinha a senha do então presidente do TSE e ela nem tinha sido feita ainda."," Circula nas redes sociais um vídeo com um trecho de uma reportagem do programa Fantástico, da Globo, com a seguinte legenda: ""Antes de Bolsonaro, a Globo admitiu chance de fraude nas urnas"". É #FAKE. "," A reportagem em questão foi exibida no dia 17 de agosto de 2008 e fala sobre um golpe aplicado por um homem que diz ser capaz de alterar o resultado nas urnas eletrônicas. No vídeo que circula nas redes, porém, são omitidos diversos trechos originais que deixam claro que o que é oferecido pelo golpista não é passível de ser feito. ",1
É #FAKE que foto mostre escrava acorrentada após Talibã assumir o poder no Afeganistão, G1 Fato ou Fake ,Há 10 meses,,,"Imagem que circula em redes sociais com legenda falsa foi feita, na verdade, em 2014, durante ato realizado por curdos em Londres contra o Estado Islâmico.",,,1
É #FAKE que vídeo mostre execução de mulher no meio da rua após o Talibã voltar ao poder, G1 Fato ou Fake ,Há 10 meses,,,"Vídeo é antigo e foi feito na Síria. Ele está publicado na internet desde 2015. Execuções de mulheres pelo Talibã, entretanto, não são raras.",,,1
É #FAKE que Lula foi recebido aos gritos de 'ladrão' por multidão ao desembarcar em Pernambuco, Fato ou Fake ,Há 10 meses, 18/08/2021 ," Por Roney Domingos, G1 ",Vídeo que circula em redes sociais é uma montagem. Som foi adicionado sobre as imagens. Ex-presidente foi recebido apenas por aliados em aeroporto.," Circula pelas redes sociais um vídeo que mostra o ex-presidente Luiz Inácio Lula da Silva descendo de um jatinho no Recife (PE) e caminhando pela pista do aeroporto enquanto é filmado por alguém que está do lado de fora. Um áudio sobre as imagens reproduz vozes de uma multidão que grita: ""O ladrão chegou"". É #FAKE. "," ""A recepção (a Lula) foi aos gritos de: 'O ladrão chegou'"", diz a legenda da mensagem falsa. ",1
É #FAKE que vídeo mostre homem deitado em turbina de avião em pleno voo fugindo do Afeganistão após Talibã tomar o poder, Fato ou Fake ,Há 10 meses, 18/08/2021 ," Por Roney Domingos, G1 ","Trata-se de uma animação gráfica, que está publicada na internet desde 2020. O vídeo tem viralizado após civis realmente se pendurarem em aeronaves para fugir do país e vídeos mostrarem quedas em pleno ar.", Circula nas redes sociais um vídeo que mostra um homem deitado na turbina de um avião em pleno voo. Legenda que acompanha as imagens diz que se trata de um flagrante de um cidadão do Afeganistão fugindo com medo da ocupação pelo Talibã. É #FAKE. , O vídeo que mostra um homem tranquilamente sobre as asas de uma aeronave em pleno voo é uma ,1
É #FAKE que foto mostre escrava acorrentada após Talibã assumir o poder no Afeganistão, Fato ou Fake ,Há 10 meses, 20/08/2021 ," Por Roney Domingos, G1 ","Imagem que circula em redes sociais com legenda falsa foi feita, na verdade, em 2014, durante ato realizado por curdos em Londres contra o Estado Islâmico."," Circula pelas redes sociais uma imagem que mostra uma mulher de burca com as mãos presas a uma corrente segurada na outra ponta por um homem com vestimenta parecida com a utilizada por talibãs. Uma legenda, que dá a entender que a foto é atual e foi feita no Afeganistão, diz: ""A derrota da humanidade. Numa foto, mulheres sendo distribuídas entre os soldados muçulmanos"". É #FAKE. "," A imagem, que tem sido relacionada à tomada do poder pelo Talibã no domingo (15), na verdade, é antiga: de 2014. Além disso, ela foi feita em Londres, durante um protesto de ativistas curdos contra o Estado Islâmico. ",1
É #FAKE que vídeo mostre execução de mulher no meio da rua momentos depois de o Talibã retomar o poder no Afeganistão, Fato ou Fake ,Há 10 meses, 18/08/2021 ," Por Roney Domingos, G1 ","Vídeo é antigo e foi feito na Síria. Ele está publicado na internet desde 2015. Execuções de mulheres pelo Talibã, entretanto, não são raras."," Circula nas redes sociais um vídeo que mostra o assassinato de uma mulher numa espécie de ""tribunal"" no meio da rua, sob o olhar de várias pessoas. Legendas que o acompanham dizem que se trata de uma execução feita pelo Talibã momentos depois de o grupo extremista retomar o poder no Afeganistão. É #FAKE. ", O vídeo é antigo. Uma busca reversa das imagens mostra que ele foi publicado em janeiro de 2015. Segundo os relatos da ,1
Fato ou Fake desmente boato sobre fraude nas urnas, G1 Fato ou Fake ,Há 10 meses,,,Boato diz que Globo fez reportagem no Fantástico admitindo chance de fraude nas urnas. Não é verdade. Trechos da reportagem original foram omitidos para dar sustentação à mensagem falsa.,,,3
É #FAKE que STF autorizou casamento de homem com jumenta no Ceará, G1 Fato ou Fake ,Há 10 meses,,,Publicação falsa antiga tem voltado a ser disseminada em meio a ataques virtuais à imagem do Supremo. Texto viral tem causado revolta nas redes sociais.,,,1
É #FAKE que CNN exibiu tarja elogiando integrantes do Talibã por usarem máscaras, Fato ou Fake ,Há 10 meses, 18/08/2021 ," Por Roney Domingos, G1 ",Montagem foi publicada em um site satírico e acabou viralizando. Imagem é antiga e tarja foi manipulada.," Circula pelas redes sociais um print de uma tela da CNN que mostra a foto de integrantes do Talibã sob uma tarja que os elogia por, ""de forma responsável"", usarem máscaras. É #FAKE. "," A CNN não exibiu, em nenhum momento, uma tarja com esse teor nem fez qualquer tipo de elogio aos integrantes do Talibã por usarem máscaras. Na verdade, eles nem sequer utilizam máscaras contra a Covid-19 na imagem em questão. O que eles usam, na verdade, é o shemagh, uma espécie de lenço árabe. ",1
É #FAKE que STF autorizou casamento de homem com jumenta no Ceará, Fato ou Fake ,Há 10 meses, 18/08/2021 ," Por Roney Domingos, G1 ",Publicação falsa antiga tem voltado a ser disseminada em meio a ataques virtuais à imagem do Supremo. Texto viral tem causado revolta nas redes sociais., Circula nas redes sociais uma mensagem que diz que o Supremo Tribunal Federal (STF) autorizou o casamento de um homem de 37 anos com uma jumenta no interior do Ceará. É #FAKE. , Procurada pelo ,1
É #FAKE que testes PCR são usados para implementar microcristais na glândula pineal, CoronaVírus ,Há 10 meses, 18/08/2021 ," Por Roney Domingos, G1 ","Especialistas apontam que teste é seguro e não dá acesso à glândula pineal, que fica em uma área do cérebro que só pode ser acessada cirurgicamente. ", Circulam nas redes sociais e aplicativos de mensagem publicações que sugerem que os testes PCR são usados para implementar microcristais na glândula pineal e estabelecer controle sobre a população. É #FAKE. ," O médico João Renato Rebelo Pinho, patologista clínico e coordenador científico do Comitê de Biologia Molecular da Sociedade Brasileira de Patologia Clínica/Medicina Laboratorial, afirma que a mensagem não tem o mínimo fundamento. ",1
É #FAKE que vídeo mostre menina sendo vacinada à força contra Covid obrigada pelos pais, G1 Fato ou Fake ,Há 10 meses,,,"Grupos antivacina têm espalhado imagem que mostra menina chorando ao se vacinar para dizer que ela foi forçada a ser imunizada e resistiu até o último minuto. Ela mesmo fez um vídeo explicando que jamais se negou a tomar vacina contra a Covid-19, mas que tem fobia de injeção e agulha.",,,1
É #FAKE que vídeo mostre menina sendo vacinada à força contra Covid-19 após ser obrigada pelos pais, CoronaVírus ,Há 10 meses, 18/08/2021 ," Por Roney Domingos, G1 ","Grupos antivacina têm espalhado imagem que mostra menina chorando ao se vacinar para dizer que ela foi forçada a ser imunizada e resistiu até o último minuto. Ela mesmo fez um vídeo explicando que jamais se negou a tomar vacina contra a Covid-19, mas que tem fobia de injeção/agulha."," Circula nas redes sociais um vídeo que mostra uma menina espanhola chorando e resistindo à vacinação em um ambulatório enquanto enfermeiras tentam acalmá-la. As cenas são acompanhadas de uma legenda em português que diz: ""A reação de uma menina de 13 anos forçada pelos pais a tomar a vacina"". É #FAKE. ", A legenda espalhada em grupos antivacina tira de contexto o que o vídeo mostra. Pelo endereço da conta do Tik Tok disponível na tela é possível encontrar a usuária que fez o vídeo original. E em um ,1
É #FAKE foto que mostra Messi com tatuagem de Bolsonaro nas costas, Fato ou Fake ,Há 10 meses, 18/08/2021 ," Por Roney Domingos, G1 ",Imagem foi manipulada para inserir silhueta do presidente brasileiro no corpo do atleta., Circula nas redes sociais uma foto que mostra o jogador Lionel Messi com uma tatuagem do presidente Jair Bolsonaro nas costas. Ela é #FAKE. ," A foto original do jogador, feita em 10 de agosto pelo fotógrafo Aurelien Meunier, com crédito para PSG/PSG via Getty Images, ",1
É #FAKE que trecho de cerimônia de abertura das Olimpíadas de Londres com sombra e camas de hospital é a prova de que a pandemia foi planejada, CoronaVírus ,Há 10 meses, 18/08/2021 ," Por Roney Domingos, G1 ","Mensagem falsa alega que cena mostra que plano de controle populacional existe pelo menos desde 2012. Na verdade, trecho do show mostra homenagem ao SUS britânico e à literatura infantil do país. Sombra representou Voldemort, vilão de Harry Potter."," Circula nas redes sociais um vídeo com um trecho do show de abertura das Olimpíadas de 2012, em Londres, em que uma sombra paira sobre dezenas de camas de hospital e profissionais de saúde. Uma legenda afirma que as cenas são uma prova de que a pandemia do novo coronavírus foi planejada muito antes com o objetivo de promover um controle populacional através das vacinas. É #FAKE. ", A teoria propagada por grupos antivacina não tem nenhum respaldo na realidade. O próprio ,1
É #FAKE que CDC disse que variante do coronavírus é a própria vacina, G1 Fato ou Fake ,Há 10 meses,,,"Publicações de sites antivacina tiram de contexto orientações do CDC. O texto oficial do órgão diz que as vacinas são altamente eficazes contra doenças graves, mas a variante Delta causa mais infecções e se espalha mais rapidamente do que as formas iniciais do vírus que causa a Covid-19.",,,1
É #FAKE que atleta do Catar decidiu dividir ouro após italiano sentir fisgada na coxa, G1 Fato ou Fake ,Há 10 meses,,,"A descrição do evento distorce os fatos. Na verdade, o que ocorreu foi que os dois alcançaram a mesma altura. Diante disso, o juiz perguntou se eles prefeririam dividir o ouro ou se queriam continuar competindo. Ambos decidiram parar.",,,1
